Country,Last Non-Empty GDP
Aruba,3544707788.05664
Afghanistan,14266499429.8746
Angola,106782770714.619
Albania,18916378860.5488
Andorra,3352031094.22914
United Arab Emirates,507063968273.313
Argentina,631133384439.944
Armenia,19513474648.2429
American Samoa,871000000.0
Antigua and Barbuda,1867733333.33333
Australia,1692956646855.7
Austria,470941926750.741
Azerbaijan,78721058823.5294
Burundi,3338722827.66241
Belgium,583435595579.963
Benin,17396792699.5489
Burkina Faso,18820064797.8379
Bangladesh,460201265527.977
Bulgaria,90346169914.9349
Bahrain,44383297872.3404
"Bahamas, The",12897400000.0
Bosnia and Herzegovina,24473906673.7086
Belarus,72793457588.4367
Belize,2830507575.6841
Bermuda,7546000000.0
Bolivia,44008282877.9606
Brazil,1920095779022.73
Barbados,5699950000.0
Brunei Darussalam,16681536466.7183
Bhutan,2768003872.54065
Botswana,20355541962.8512
Central African Republic,2382618615.01694
Canada,2161483369422.01
Switzerland,818426550206.45
Channel Islands,11735662219.7772
Chile,301024724911.923
China,17963171479205.3
Cote d'Ivoire,70018715016.8293
Cameroon,43644068310.851
"Congo, Dem. Rep.",64718641221.216
"Congo, Rep.",15816996654.5788
Colombia,343622114560.409
Comoros,1242519407.27815
Cabo Verde,2226862134.08787
Costa Rica,69243626028.6696
Caribbean small states,94867024971.9129
Cuba,107351800000.0
Curacao,3075180834.72417
Cayman Islands,6844827379.30952
Cyprus,29250524418.0855
Czechia,290565654835.809
Germany,4082469490797.68
Djibouti,3515108859.95465
Dominica,607440740.740741
Denmark,400167196948.707
Dominican Republic,113537368176.13
Algeria,194998449769.085
Ecuador,115049476000.0
"Egypt, Arab Rep.",476747720364.742
Eritrea,2065001626.01626
Spain,1417800466262.65
Estonia,38100812958.5196
Ethiopia,126783471597.671
Finland,282649838009.729
Fiji,4979979546.0123
France,2779092236505.85
Faroe Islands,3555929833.05051
"Micronesia, Fed. Sts.",424000000.0
Gabon,21071739224.8918
United Kingdom,3089072722400.14
Georgia,24780791063.7131
Ghana,73766052451.5256
Gibraltar,NY.GDP.MKTP.CD
Guinea,20999229260.4955
"Gambia, The",2187194563.48605
Guinea-Bissau,1633559092.08861
Equatorial Guinea,12029633746.519
Greece,217581324512.059
Grenada,1215379155.67282
Greenland,3235809504.29871
Guatemala,95003330315.8754
Guam,6123000000.0
Guyana,14718388489.2086
High income,61729512123777.9
"Hong Kong SAR, China",359838583490.063
Honduras,31717699764.3621
Heavily indebted poor countries (HIPC),980688371242.572
Croatia,71600049650.195
Haiti,20253551884.6055
Hungary,177337436677.365
IBRD only,37752366428370.0
IDA & IBRD total,40573962163610.3
IDA total,2822821779328.87
IDA blend,1175091814528.12
Indonesia,1319100220407.72
IDA only,1647744371553.08
Isle of Man,6684229268.50545
India,3416645826052.87
Not classified,NY.GDP.MKTP.CD
Ireland,533140011838.276
"Iran, Islamic Rep.",413493207349.265
Iraq,264182173793.103
Iceland,28064529851.3098
Israel,525002447652.773
Italy,2049737165407.98
Jamaica,17097760723.9201
Jordan,48653381780.6397
Japan,4256410760723.75
Kazakhstan,225496328925.494
Kenya,113420008178.793
Kyrgyz Republic,11543966558.842
Cambodia,29504829319.3169
Kiribati,223353014.294593
St. Kitts and Nevis,965638864.921867
"Korea, Rep.",1673916469026.56
Kuwait,175363265306.122
